iter	MultiClass
0	1.191924929
1	0.9728011664
2	0.8304355137
3	0.723186462
4	0.6456585878
5	0.5806915223
6	0.5302598868
7	0.4879300814
8	0.4524419141
9	0.4238010638
10	0.3988222078
11	0.3759202721
12	0.3567730221
13	0.3397771529
14	0.3264436281
15	0.3155432502
16	0.3047561231
17	0.2943653856
18	0.2852249008
19	0.2777177966
20	0.2719510753
21	0.2650269966
22	0.2592760121
23	0.2539224071
24	0.2497831339
25	0.2455198198
26	0.2428371756
27	0.2397973346
28	0.2378551126
29	0.2351084858
30	0.2318175276
31	0.2293592926
32	0.2273749797
33	0.2250251876
34	0.2234516346
35	0.2209365422
36	0.2196907446
37	0.2182918602
38	0.2168555022
39	0.215294357
40	0.2138509974
41	0.2121017493
42	0.2107766716
43	0.2097304756
44	0.2088457099
45	0.207859114
46	0.2068177423
47	0.2056348213
48	0.2041428128
49	0.2030427477
50	0.2019287166
51	0.2010651997
52	0.1998807351
53	0.1992090616
54	0.1983763632
55	0.1972126972
56	0.1964633511
57	0.1955712354
58	0.1948581187
59	0.1939382421
60	0.1933101216
61	0.192930976
62	0.1922293757
63	0.1911351735
64	0.190539376
65	0.1899637971
66	0.1894319856
67	0.1886875533
68	0.1879361652
69	0.1872760155
70	0.1865947922
71	0.1860858877
72	0.185549369
73	0.1850701901
74	0.1845598579
75	0.1840216201
76	0.1835184227
77	0.1832760001
78	0.1825610492
79	0.1820114073
80	0.1814981466
81	0.1812199368
82	0.1809054854
83	0.1804305947
84	0.17972214
85	0.178799071
86	0.1782570384
87	0.1776610785
88	0.1770469269
89	0.1762955865
90	0.1759680082
91	0.1755971405
92	0.1751538224
93	0.1745239963
94	0.1740406969
95	0.1736082314
96	0.1730626542
97	0.1725740152
98	0.1720237783
99	0.1715480546
