iter	Passed	Remaining
0	149	14755
1	297	14580
2	463	14982
3	594	14263
4	720	13697
5	884	13861
6	1062	14121
7	1198	13777
8	1372	13874
9	1503	13528
10	1692	13696
11	1854	13602
12	2004	13412
13	2168	13318
14	2300	13035
15	2435	12787
16	2581	12605
17	2771	12625
18	2916	12435
19	3056	12225
20	3167	11916
21	3300	11702
22	3433	11495
23	3587	11359
24	3734	11203
25	3863	10995
26	4024	10879
27	4154	10682
28	4279	10476
29	4400	10267
30	4513	10045
31	4646	9873
32	4801	9747
33	4975	9658
34	5145	9555
35	5284	9394
36	5432	9249
37	5550	9056
38	5660	8853
39	5784	8677
40	5908	8502
41	6030	8327
42	6173	8183
43	6303	8023
44	6417	7843
45	6535	7672
46	6663	7514
47	6801	7368
48	6925	7207
49	7048	7048
50	7166	6885
51	7306	6744
52	7450	6606
53	7566	6445
54	7681	6284
55	7790	6121
56	7914	5970
57	8068	5842
58	8231	5720
59	8366	5577
60	8496	5432
61	8619	5282
62	8759	5144
63	8878	4994
64	9022	4858
65	9148	4712
66	9256	4559
67	9511	4476
68	9664	4342
69	9813	4205
70	9934	4057
71	10062	3913
72	10207	3775
73	10334	3631
74	10408	3469
75	10554	3332
76	10716	3201
77	10862	3063
78	11008	2926
79	11150	2787
80	11250	2638
81	11382	2498
82	11506	2356
83	11646	2218
84	11772	2077
85	11895	1936
86	12019	1796
87	12174	1660
88	12315	1522
89	12443	1382
90	12580	1244
91	12682	1102
92	12839	966
93	12965	827
94	13086	688
95	13182	549
96	13345	412
97	13449	274
98	13594	137
99	13735	0
